@RELATION 'Waveform'

@ATTRIBUTE 'var_0000' real
@ATTRIBUTE 'var_0001' real
@ATTRIBUTE 'var_0002' real
@ATTRIBUTE 'var_0003' real
@ATTRIBUTE 'var_0004' real
@ATTRIBUTE 'var_0005' real
@ATTRIBUTE 'var_0006' real
@ATTRIBUTE 'var_0007' real
@ATTRIBUTE 'var_0008' real
@ATTRIBUTE 'var_0009' real
@ATTRIBUTE 'var_0010' real
@ATTRIBUTE 'var_0011' real
@ATTRIBUTE 'var_0012' real
@ATTRIBUTE 'var_0013' real
@ATTRIBUTE 'var_0014' real
@ATTRIBUTE 'var_0015' real
@ATTRIBUTE 'var_0016' real
@ATTRIBUTE 'var_0017' real
@ATTRIBUTE 'var_0018' real
@ATTRIBUTE 'var_0019' real
@ATTRIBUTE 'var_0020' real
@ATTRIBUTE 'id' real
@ATTRIBUTE 'outlier' {'no','yes'}

@DATA
1.35,0.45,1.09,2.88,2.56,3.93,1.74,2.3,2.56,2.31,1.65,0.77,2.01,-0.75,2.84,2.37,0.35,1.64,1.72,1.65,-0.97,816,'yes'
0.93,-1.73,1.06,0.69,-0.12,3.32,0.78,2.17,2.57,4.26,2.83,2.35,4.36,2.22,3,3.01,2.43,2.54,1.73,-0.12,1.42,817,'no'
0.72,0.58,1.48,1.07,2.24,3.43,4.4,2.99,5.64,5.26,6.23,4.13,0.39,0.23,1.98,1.06,1.14,-0.13,1.47,1.39,-0.41,818,'no'
-1.38,1.83,0.16,-0.3,0.76,1.56,4.71,4.42,3.24,3.94,6.12,5.07,4.45,3.9,1.1,1.68,-0.6,-1.39,0.78,-1.35,0.35,819,'no'
-0.2,0.79,2.22,-0.92,-1.24,-0.09,0.24,2.06,1.67,1.37,5.79,4.91,2.75,3.38,1.43,0.57,-1.15,1.32,-0.08,-1.48,-1.12,820,'no'
-0.58,1.11,-0.32,2.15,-0.76,4.37,3.89,4.09,3.39,4.02,5.83,4.77,1.3,0.75,0.21,0.15,-0.91,1.31,-0.1,0,-0.61,821,'no'
-0.39,-0.65,0.13,-0.87,-2.89,-0.26,0.94,1.96,2.52,4.08,4.52,5.16,2.75,3.69,4.03,2.87,1.31,2.52,2.31,-0.07,-0.69,822,'no'
0.24,0.48,1.91,-0.1,1.06,0.47,1.17,-0.72,-0.81,2.48,1.36,2,5.12,6.14,5.04,4.32,3.23,3.66,1.28,2.1,-0.54,823,'yes'
1.89,-1.65,3.52,-0.59,0.94,1.54,2.29,3.5,5.07,4.48,5.62,4.17,2.94,5.39,1.83,1.83,-0.38,-0.3,0.48,0.63,1.06,824,'no'
0.55,0.65,0.12,1.2,2.59,1.76,0.65,0.55,-0.18,1.85,1.61,1.85,2.82,2.33,4.94,3.77,3.08,1.83,0.93,2.19,0.08,825,'yes'
0.01,-0.66,-0.2,2.22,-0.26,-0.65,-0.34,0.85,-1.29,1.21,1.4,3.5,4.89,6.29,4.63,3.41,3.44,0.74,2.56,1.11,-1.7,826,'no'
-1.54,0.83,1.71,2.32,3.39,2.19,4.72,2.72,3.6,1.78,2.13,1.92,2.02,2.4,3.8,1.78,1.92,0.01,1.17,1.52,-0.14,827,'yes'
0.04,-1.24,1.82,0.8,0.51,1.58,1.82,3.36,4.32,2.94,5.86,4.58,3.03,1.9,3.05,1.69,0.09,0.9,0.53,0.75,0.76,828,'no'
-2.48,0.59,1,2.11,-0.28,6.48,4.47,3.57,3.15,3.61,6.02,5.39,2.66,3.01,1.74,3.1,-0.15,-0.18,-1.7,-0.23,0.66,829,'no'
-1.61,0.49,0.77,1.26,3.02,5.91,3.72,4.5,4.86,3.98,3.59,1.32,2.16,0.86,1.45,1.05,-0.45,-0.03,-0.58,1.08,0.32,830,'no'
-0.66,0.9,2.3,2.65,5.12,5.22,7.24,5.13,5.09,1.31,1.26,-1.43,0.39,1.96,1.48,1.88,2.57,0.82,-0.17,1.43,1.84,831,'yes'
0.55,1.79,0.57,-1.3,-0.07,1.58,1.65,2.04,3.22,5.93,6.08,4.15,3.24,2.72,2.24,2.42,1.84,-0.16,1.14,0.83,0.3,832,'no'
-0.6,1.26,4.08,4.1,3,3.93,7.36,5.57,4.22,1.48,1.56,1.36,-1.06,-0.63,1.48,1.86,1.36,-0.5,0.98,-2.27,-0.3,833,'yes'
0.3,-0.17,0.09,0.59,-0.27,2.3,0.72,1.22,1.5,1.78,1,3.6,3.47,2.14,3.7,2.92,1.93,1.95,-0.09,3.57,-0.86,834,'yes'
-0.86,0.01,-1.22,0.53,0.94,1.06,1.78,3.37,4.69,3.26,7.43,5.51,3.11,1.74,1.54,2.26,-0.04,-1.36,-0.54,0.73,-1.77,835,'no'
1.22,-0.8,1.28,0.8,0.35,0.82,4.75,2.34,3.39,4.17,3.61,2.61,5.55,4.92,2.41,2.69,-0.92,-0.14,1.72,0.47,2.23,836,'no'
-1.36,-2.6,-0.3,-1.64,0.4,-1.89,1.12,3.11,3.25,5.81,4.53,3.63,4.55,3.65,1.24,0.75,-0.48,-0.94,0.17,-1.84,2.02,837,'no'
-0.85,-0.76,-0.47,0.16,0.07,-1.24,0.98,2.08,3.91,6.25,6.5,6.12,3.75,2.99,2.7,2.86,0.39,-0.02,-0.8,0.13,1.2,838,'no'
-0.71,-0.82,-1.12,0.63,0.24,0.27,1.17,0.46,1.27,1.62,4.46,1.53,2.74,4.47,5.39,3.77,3.49,2.42,1.12,0.23,-0.49,839,'yes'
-0.29,-0.38,-0.13,0.01,-1.08,-0.69,2.85,1.21,1,0.98,4.27,4.13,4.26,2.68,4.06,2.21,0.01,0.88,-1,0.6,0.04,840,'no'
-2.41,-1.7,-0.48,1.97,-1.42,-0.01,3.29,1.32,6.72,5.35,4.81,5.73,5.68,4.82,1.96,1.28,-0.17,-0.31,-0.17,-1,-0.16,841,'no'
-0.63,-0.78,1.64,1.61,1.96,2.96,1.92,3.86,3.63,5.94,6.88,5.73,2.87,4.2,2.86,0.38,-0.75,-0.01,0.9,0.7,1.13,842,'no'
1.05,1.7,-0.73,0.21,1.72,2.77,2.05,1.55,0.42,2.58,0.91,1.96,1.77,3.77,4.06,2.31,1.33,0.76,-0.06,-0.1,1.77,843,'yes'
1.29,0.41,1.5,2.03,4.17,5.5,6.15,5.78,3.46,4.47,2.57,2.52,-0.62,0.81,0.21,-2.4,-0.66,-1.26,1.14,0.05,0.78,844,'yes'
-0.84,0.26,0.02,-0.32,0.38,2.29,0.1,3.69,3.41,6.12,6,3.05,3.78,2.39,1.8,1.86,-1,-0.44,-0.96,0.37,-0.86,845,'no'
0.99,0.63,0.69,0.49,0.9,0.98,1.18,4.08,4.03,6.24,6.59,4.32,2.69,3.95,2.08,-0.48,-0.49,-0.91,-0.2,0.97,1.31,846,'no'
0.71,-0.86,1.22,0.99,1.33,1.67,2.94,4.75,3.53,1.8,1.6,2.6,2.08,-0.02,2.02,1.16,3.19,1.46,0.8,-0.02,0.32,847,'yes'
-1.15,-0.41,0.57,-0.18,-0.66,-0.16,2.49,2.63,2.06,3.09,3.08,4.77,3.46,3.14,1.83,1.43,-0.27,0.9,-1.44,-0.56,0.58,848,'no'
-0.09,0.6,0.78,-0.23,0.6,-0.13,1.96,1.67,1.4,2.15,4.94,3.66,3.11,3.95,4.2,1.3,2.3,1.09,-0.78,1.09,-0.75,849,'no'
-0.03,0.71,1.22,0.4,2.54,2.03,4.57,2.46,1.52,2.42,2.37,2.67,-1.06,2.27,2.58,0.5,3.51,1.13,0.29,0.56,0.75,850,'yes'
-0.04,0.83,1.42,-0.03,1.19,-0.29,-0.26,0.65,1.53,4.13,5.15,5.1,3.64,3.72,4.38,2.77,2.39,1.84,1.17,0,1.2,851,'no'
-0.32,2.45,1.42,1.94,1.75,5,4.42,2.81,3.67,3.2,4.63,4.15,1.63,0.51,1.59,1.18,1.36,1.83,-1.15,-1.01,0.61,852,'no'
0.16,-1.65,-0.55,1.54,-0.12,-2.49,-1.3,-1.51,0.69,2.39,2.59,2.15,4.21,4.63,6.21,3.97,4.16,2.87,3.15,3.83,-1.1,853,'no'
0.7,-0.2,2.68,1.97,4.03,3.74,4.6,3.17,6.06,3.05,2.18,2.35,0.78,3.46,-0.68,2.56,-1.06,0.02,0.98,-0.11,0.33,854,'no'
1.24,0.29,1.16,-0.58,-0.25,4.59,2.47,4.38,4.99,4.8,3.82,4.32,1.87,0.9,2.22,1.39,0.97,-0.36,0.35,-0.26,-0.45,855,'no'
-0.17,1.14,0.71,3.05,4.96,6.73,5.8,6.51,3.73,2.38,2.36,2.42,0.61,-0.5,-0.94,1.91,1.1,-0.65,-0.07,-0.42,-0.76,856,'no'
-0.95,-0.28,0.51,-0.19,0.43,2.19,3.01,0.11,2.24,2.81,4.47,2.67,2.44,3.19,4.44,3.19,2.18,2.58,1.1,1.26,-0.79,857,'yes'
1.89,0.68,0.86,3.12,1.62,4.19,5.37,4.63,3.72,2.74,1.93,1.27,2.7,0.45,1.62,1.5,1.55,1.59,-1.16,-2.76,0.44,858,'no'
1.2,0.62,1.85,3.33,3.55,3.65,4.84,3.54,5.24,2.7,1.64,1.81,-1.19,-1.26,2.37,-0.51,2.27,0.91,-0.54,-0.13,0.91,859,'yes'
-0.54,-0.58,0.76,-0.7,-0.14,0.65,2.26,2.51,3.16,3.01,3.35,5.04,4.92,4.22,2.19,1.27,0.05,-0.27,-0.9,0.01,0.96,860,'no'
-0.58,0.88,-0.34,0.41,-0.12,-0.06,-0.15,3.46,0.53,3.24,4.82,3.94,3.53,3.99,6.01,3.06,2.88,0.33,1.84,0.41,1,861,'no'
1.21,0.42,0.51,-0.88,-0.02,0.3,-0.17,1.08,0.69,2.5,2.51,2.74,4.5,5.38,8.72,4.34,4.05,2.22,0.54,-0.44,-1.01,862,'no'
0.68,2.87,1.84,2.08,3,4.45,4.64,4.72,4.39,2.14,2.03,0.27,0.95,0.5,-0.43,0.1,0.34,1.18,0.82,0.55,-1.32,863,'yes'
-1.28,0.23,-1.18,0.83,1.96,2.63,2.98,2.45,3.05,4.53,5.99,3.5,4.2,2.86,3.52,0.76,1.56,1.37,0.02,-0.62,1.5,864,'no'
-0.17,-0.02,2.03,1.1,0.73,0.34,2.43,1.27,0.98,5.69,6.82,4.21,4.97,2.68,4.06,2.36,1.49,0.88,-0.38,3.11,-2.78,865,'no'
-0.98,-1.6,0.12,0.25,-0.23,1.99,2.02,2.52,4.06,5.65,5.1,3.74,3.89,2.43,3.13,0.81,1.44,0.1,-0.09,-1.47,-0.89,866,'no'
-0.42,-1.57,0.53,0.19,0.68,-0.08,1.86,2.42,5.16,5.92,6.66,5.05,2.99,1.51,3.06,1.73,0.35,0.19,-2.26,-1.19,-0.89,867,'no'
1.27,0.43,0.39,1.3,2.93,0.23,4.28,4.45,2.39,3.75,5.7,6.58,2,0.4,1.28,2.15,-0.1,-0.04,-1.33,-0.5,0.92,868,'no'
0.21,0.13,0.09,2.48,2.25,1.47,4.15,3.34,6.44,3.89,5.56,3.1,1.92,1.62,1.81,0.36,0.43,-0.52,0.26,-0.7,-0.45,869,'no'
-1.16,0.56,0.36,-0.93,0.12,0.64,-0.73,0.55,0.1,0.96,1.82,2.56,3.16,6.98,6.74,4.98,4.55,1.27,2.12,1.63,-0.65,870,'no'
0.24,-2.18,-0.03,-1.1,-1.69,1.02,1.07,1.47,3.87,6.01,4.86,4.34,3.24,3.72,2.65,0.31,1.88,0.52,2.19,-0.98,1.22,871,'no'
0,2.49,0.16,4.1,4.82,5.2,5.83,3.84,3.8,2.93,0.4,2.87,0.58,1.18,1.44,0.56,-1.35,0.01,0.28,2.05,-1.12,872,'no'
2.42,-0.41,-0.73,-0.28,0.93,-0.35,0.69,1.86,2.14,3.17,5.91,3.44,3.48,5.26,2.84,2.09,1.71,-0.52,0.49,1.44,-0.1,873,'no'
0.73,-0.31,1.97,0.72,4.14,6.6,6.36,3.58,4.14,3.34,0.82,-0.45,-1.36,-0.2,-0.83,0.94,0.21,-0.3,0.47,0.87,-2.23,874,'yes'
0.29,0.82,2.47,2.23,4.88,5.53,6.19,4.67,4.83,4.34,2.55,2.42,3.06,0.99,-0.71,1.08,-0.79,-0.44,-0.82,2.42,0.71,875,'no'
-1.04,-1.45,0.88,2.24,2.7,4.18,3.7,3.25,4.19,1.88,2.34,1.37,0.61,0.19,1.03,-0.28,-1.08,-0.01,0.32,0.06,0.88,876,'no'
1.46,-2.93,0.83,-1.77,-0.24,-1.03,0.52,1.02,1.14,0.5,0.57,3.26,4.26,4.42,6.95,4.66,3.36,2.76,1.21,1.57,-1.16,877,'no'
0.03,0.5,0.32,-1.68,-0.22,1.7,1.56,2.33,3.02,3.09,5.04,3.84,3.12,2.86,2.21,4.43,2.27,1.4,0.74,1.12,-0.73,878,'no'
0.66,2.13,2.15,2.03,1.56,3.59,3.33,3.74,1.37,4.11,1.76,2.41,1.24,0.58,2.28,2.75,3.05,0.76,2.02,0.37,0.95,879,'yes'
-0.81,-0.07,0.87,-0.5,1.1,0.37,2,0.3,1.06,2.56,5.08,3.81,4.65,6.65,4.08,2.31,1.97,0.52,2.2,2,-0.47,880,'no'
0.19,2.18,1.79,1.12,1.78,2.33,3.24,3.04,5.25,4.26,4.27,3.31,2.61,1.87,1.95,0.2,0.25,-0.42,-0.29,-0.3,0.51,881,'no'
0.3,-0.17,1.57,1.7,4.88,2.37,5.05,4.31,2.17,2.87,2.85,1.88,0.85,3.52,0.83,2.31,1.57,1.14,1.11,1.32,-0.15,882,'yes'
1.12,0.4,2.27,1.57,2.6,3.44,3.77,2.6,4.09,3.17,4.59,2.41,2.64,1.36,2.98,2.16,1.32,-0.6,-0.86,0.61,0.03,883,'no'
0.18,-0.01,-0.05,0.49,2.58,1.59,2.62,1.16,2.58,3.26,1.91,1.87,2.06,0.93,2.1,3.28,0.24,0.43,1.75,0.94,-0.51,884,'yes'
1.98,1.52,2.8,1.54,-0.34,-0.24,1.68,1.54,2.03,3.77,5.17,5.78,3.53,3.28,2.04,0.69,3.32,-0.2,0.85,-0.83,0.48,885,'no'
0.82,0.84,1.33,2.33,1.16,4.25,5.02,2.47,3.92,3.29,3.87,2.23,-0.5,1.32,0.13,1.91,0.07,0.96,2.67,0.36,-0.97,886,'yes'
-0.15,-1.56,-1.95,-0.06,0.09,-0.63,2.24,1.97,2.47,1.69,4.65,3.7,4.47,2.55,4.58,3.1,1.57,0.15,-0.79,1.01,1.74,887,'no'
-1.56,-0.49,1.38,1.79,4.38,3.81,4.85,4.38,4.11,1.87,3.1,2.4,1.23,0.02,0.59,0.65,-0.02,1.46,0.31,0.61,-0.18,888,'no'
-0.48,0.29,0.87,2.46,2.34,4.56,4.37,4.44,4.05,2.62,1.08,-0.49,1.3,0.28,2.24,1.05,-0.95,0.11,0.46,-0.21,1.31,889,'yes'
1.4,0.98,2.03,2.35,2.35,0.39,2.62,2.6,2.11,0.99,2.27,1.42,0.08,2.61,3.19,3.81,2.26,0.9,2.38,0.23,-0.51,890,'yes'
-0.26,2.13,-0.27,-0.57,0.65,2.42,3.35,5.24,2.96,3.98,2.92,2.76,3.14,1.86,-0.35,2.13,-1.13,0.83,-0.64,1.01,-0.57,891,'no'
-0.09,-0.99,0.5,2.9,2.74,2.56,4.07,2.95,4.34,2.73,1.2,2.34,1.08,0.6,0.56,-0.11,-0.41,-1.36,-1.34,0.16,0.31,892,'no'
-0.11,-0.07,2.16,2.33,2.59,2.38,3.99,1.94,4.37,3.59,2.52,2.69,0.49,0.48,1.52,1.14,2.72,-0.13,-0.59,0.38,0.54,893,'yes'
-0.36,0.1,0.76,-0.13,1.08,0.31,-0.45,1.44,1.84,0.63,0.98,3.12,1.82,4.4,4.77,3.49,3.78,1.02,0.65,0.37,0.1,894,'no'
0.03,1.3,1.66,0.87,2.57,3.98,3.26,3.02,3.28,3.89,4.28,4.06,1.11,2.11,2.38,0.9,1.41,-0.74,0.18,0.08,1.19,895,'no'
0.07,1.29,0.93,0.57,-0.32,2.42,2.54,3.92,5.62,3.01,3.74,4.12,2.95,2.61,1.65,1.41,1.02,-0.35,-0.43,0.57,-0.21,896,'no'
-1.92,-1.12,1.81,3.87,2.73,5.58,5.53,3.94,3.44,4.59,1.45,1.48,-1.56,1.08,-0.71,1.38,1.59,0.58,0.28,-0.13,-1.18,897,'no'
1.14,-1.42,-0.28,0.47,0.48,1.29,0.91,2.75,2.18,3.54,4.61,6.29,1.84,1.77,1.29,0.97,0.8,-0.11,0.94,0.86,-0.52,898,'no'
-0.59,-0.26,0.15,1.64,1.62,1.95,4.18,3.24,5.52,4.67,5.17,5.83,2.77,2.26,2.8,1.52,1.18,-0.07,-0.9,0.41,-0.31,899,'no'
-0.02,1.36,2.41,1.24,2.53,2.28,1.32,1.65,3.96,6.24,6.13,3.22,2.59,1.65,2.45,0.16,-0.63,-0.74,0.51,-2.42,0.4,900,'no'
1.24,0.78,0.51,3.22,3.78,3.53,4.6,4.07,3.94,4.39,3.01,-1.2,0.62,1.76,-0.04,1.14,-0.65,0.51,-0.96,0.06,-0.64,901,'no'
0.09,-2.5,0.58,0.31,-1.28,-0.39,1.05,2.25,2.26,1.87,5.23,4.34,2.62,4.88,4.62,1.73,2.14,0.11,0.48,2.35,-0.71,902,'no'
1.79,-0.76,-0.58,-0.18,-0.13,-0.12,-1.31,0.29,-0.33,2.01,1.38,2.67,5.18,4.78,5.19,4.45,3.33,2.43,0.68,0.44,-0.59,903,'no'
0.05,0.93,1.83,2.15,1.87,3.5,4.32,3.69,3.9,3.43,2.79,1.07,1.05,1.47,0.86,2.1,-0.16,-1.16,-0.82,0.03,-0.77,904,'yes'
-0.26,1.1,0.98,2.15,0.84,1.67,1.06,2.59,4.01,5.66,6.18,3.1,4.53,2.92,1.92,0.81,0.74,0.05,-0.75,-0.63,0.82,905,'no'
0.46,1.55,1.35,2.48,0.8,1.92,1.53,3.74,2.07,1.68,0.73,3.16,2.4,3.33,1.8,1.44,2.07,2.03,1.06,-1.37,0.41,906,'yes'
1.13,-0.24,1.06,2.55,0.26,3.37,2.42,2.87,1.71,4.49,2,1.83,3.77,3.18,1.49,3.69,-0.74,1.64,1.49,0.89,-3.88,907,'yes'
0.37,1.63,0.92,-0.17,3.3,3.07,3.87,1.82,0.62,2.02,2.67,1.82,1.33,1.02,1.06,1.51,2.11,0.72,2.71,2.13,-1.73,908,'yes'
-0.84,-1.49,1.01,-2.73,-0.32,-0.83,2.95,0.36,3.45,3.35,2.46,3.3,4.35,2.37,2.89,0.71,1.59,3.24,0.06,1,1.11,909,'no'
-0.56,0.64,-0.19,0.14,-0.46,0.88,1.66,1.98,1.03,4.77,4.91,5.12,4.58,5.96,5.57,3.13,2.24,1.84,0.32,-1.05,1.36,910,'no'
-0.17,-0.85,1.03,0.92,-0.38,0.58,0.05,2.96,1.01,2.59,3.26,3.05,4.49,2.23,4.05,2.51,2.2,0.32,1.71,1.29,-0.59,911,'no'
0.04,-0.03,-0.92,1.49,2.4,3.43,2.76,2.92,2.24,3.04,0.97,2.26,0.59,1.42,2.55,1.51,2.48,2.31,0.4,1.71,-1.23,912,'yes'
-2.08,0.36,1.52,2.46,2.78,5.65,5.84,5.46,4.63,1.22,2.77,1.69,0.8,1.3,-0.05,0.3,-1.21,0.37,1.61,0.16,-0.54,913,'no'
1.18,1.39,2.02,0.61,1.78,2.07,5.57,3.74,3.55,3.65,4.24,2.4,0.18,1.48,-0.85,1.04,-0.65,0.91,0.72,-0.25,-0.85,914,'no'
-0.75,0.92,0.62,1.15,0.36,1.94,3.25,3.61,4.31,3.83,4.96,2.52,1.56,2.65,1.25,0.08,-0.45,-1.01,1.6,-0.56,0.24,915,'no'
0.24,0.37,0.32,2.15,2.72,1.84,3.34,2.15,2.65,2.48,1.5,1.83,1.38,1.69,3.18,0.13,0.09,1.73,-0.2,1.57,0.45,916,'yes'
-0.9,-1.05,0.51,1.24,1.59,0.14,2.59,2.54,-0.8,-0.35,1.75,3.25,3.7,4.87,3.61,5.16,3.82,0.56,2.03,0.67,-0.27,917,'yes'
-0.64,-0.05,-0.28,-1.33,0.27,2.16,3.31,3.61,4.95,3.72,5.68,4.98,3.97,2.83,3.02,2.37,-0.22,0.4,2.13,0.24,0.61,918,'no'
0.01,0.51,0.77,0.03,-0.42,2.23,3.9,2.93,3.16,3.11,0.83,2.8,2.59,2.32,3.59,3.68,2.96,-0.18,1.31,0.67,0.63,919,'yes'
-1.25,1.88,0.35,1.01,-1.52,1.32,3.64,1.57,3.41,3.26,6.04,6.57,3.55,5.68,1.17,1.04,0.5,0.45,2.27,1.6,-0.28,920,'no'
-0.52,-0.09,-1.48,-0.27,-0.19,1.35,3.34,1.62,1.58,3.95,3.63,4.49,2.32,3.32,3.35,1.26,-0.07,1.9,-0.15,0.98,-0.65,921,'no'
-1.01,-0.33,0.47,1.74,0.07,0.89,1.66,1.81,5.24,4.13,6.05,5.28,4.57,2.29,2.32,2.78,1.59,0.07,0.74,0.27,0.74,922,'no'
-0.45,1.82,0.67,3.98,0.87,1.44,1.47,2.73,4.5,2.72,5.33,4.41,2.66,0.63,-0.14,-0.26,0.44,1.86,0.01,2.1,-1.95,923,'no'
-0.29,-0.49,1.52,1.6,1.42,2.74,4.3,1.61,3.63,3.31,4.99,4.98,3.44,1.52,0.07,-0.19,-0.28,-0.1,-0.79,1.34,0.27,924,'no'
1.16,0.42,0.42,0.79,1.09,1.82,1.83,2.64,1.3,2.48,2.2,2.2,1.43,4.55,3.76,1.59,3.9,1.35,2.99,1.54,1.09,925,'yes'
-0.73,2.62,1.46,2.2,1.38,2.85,3.73,2.48,2.84,2.34,0.71,2.75,3.82,2.4,2.35,1.46,0.63,1.95,1.29,-0.83,-0.03,926,'yes'
1.3,0.67,0.88,1.35,0.86,2.29,0.66,-0.72,1.81,2.48,0.39,4.33,4.22,5.45,4.77,3.05,3.38,2.52,3.16,-0.27,-0.34,927,'yes'
1.21,1.25,-0.2,-0.07,0.61,1.06,1.61,2.77,-0.07,1.83,1.83,2.65,2.98,5.26,5.58,3.15,5.04,3.9,2.5,3.26,0.02,928,'yes'
-0.61,1.23,0.07,-0.32,0.51,1.69,1.45,1.3,1.43,3.43,4.94,5.39,2.86,3.3,5.37,2.41,2.85,-0.44,-1.23,1.22,0.89,929,'no'
-0.27,1.89,-1.32,1.31,-0.08,0.37,0.87,3.23,5.46,6.15,6.44,4.39,2.12,2.57,2.3,1.91,1.27,-1.83,1.16,0.42,-1.49,930,'no'
-0.74,0.33,-0.79,0.29,0.09,0.36,-0.2,0.09,0.1,0.27,1.62,3.09,5.59,4.95,5.37,4.17,4.31,2.68,2.38,1.58,0.44,931,'no'
0.11,-1.3,-0.62,-0.15,0.85,1.66,4.18,2.82,5.08,7.63,5.74,4.05,2.66,2.77,1.92,2.73,-0.11,-0.44,1.01,0.84,-0.39,932,'no'
0.78,-1.19,-1.06,1.04,-0.32,0.41,3.27,2.32,5.18,5.02,7.11,4.29,5.08,1.26,2.22,0.15,0.22,-0.83,0.23,-0.99,-1.26,933,'no'
1.3,0.6,0.71,1.23,2.97,3.45,3.38,2.86,4.94,4.46,4.74,3.73,0.42,2.35,0.64,0.22,0.28,-0.69,0.22,0.56,-1.15,934,'no'
0.23,-0.38,-0.03,0.89,1.85,3.81,3.01,1.8,2.47,3.04,0.58,1.6,-0.06,0.54,0.79,-0.63,-0.77,-0.62,-0.4,1.15,0.69,935,'yes'
0.64,1.22,2,3.77,4.3,3.89,5.08,3.78,6.04,2.73,2.42,0.67,0.4,-0.23,0.58,-1.92,-0.21,-1.27,-0.58,-0.23,-0.01,936,'no'
-0.69,-2.1,0.58,1.85,-1.32,0.63,0.53,0.48,-0.21,-0.17,1.75,3.47,5.7,6.93,5.49,4.63,4.46,1.94,4.32,1.34,0.52,937,'no'
-0.78,1.72,2.96,1.93,4.84,3.02,4.48,4.12,2.75,3.6,3.95,1.35,1.54,1.08,1.8,3.06,-0.21,-0.93,-0.25,0.36,0.84,938,'no'
-1.4,1.29,-0.06,-0.94,2.86,-1.78,-1.84,1.73,-1.04,0.68,1.88,4.69,4.85,6.68,6.28,3.55,4.93,3.28,1.91,3.15,-0.39,939,'yes'
0.1,0.12,-0.51,1.19,-1.63,-2.23,-1.51,0.53,1.49,-0.03,3.08,2.48,3.33,4.74,5.25,2.77,3.79,3.09,1.09,2.05,-0.04,940,'yes'
1.87,1.16,-1.38,-0.71,-0.97,1.63,1.4,1.82,1.84,3.65,3.89,3.5,3.78,3.2,2.8,2.13,3.11,3.01,1.98,2.13,-0.5,941,'no'
-1.32,-0.04,-0.7,1.31,0.8,-1.76,0.82,2.45,1.13,2.63,1.36,3.4,3.84,6.28,4.38,3.25,0.56,2,1.56,-0.28,0.2,942,'no'
0.48,0.61,3.33,1.09,3.06,3.98,7.18,4.35,3.76,1.96,2.73,0.42,3.02,2.15,1.72,1.4,-0.41,-0.47,1.35,0.16,-0.73,943,'yes'
-0.03,0.06,0.83,1.12,2.43,2.54,2.98,4.11,4.14,3.64,6.35,2.63,1.85,1.82,1.44,-0.19,2.34,0.18,-0.51,-2.84,0.93,944,'no'
-0.36,0.06,-0.99,0.55,-1.3,1.5,1.49,0.6,0.85,3.06,2.75,2.1,4.05,2.92,5.02,4.31,3.51,2.61,1.06,1.4,-0.77,945,'no'
1.02,-0.22,2.13,3.73,1.96,3.54,6.17,4.13,2.77,4.17,3.83,1.64,1.77,0.83,-0.74,0.33,-0.91,-0.74,-0.12,0.97,-0.66,946,'no'
-2.47,0.86,0.46,3.27,2.89,4.21,5.93,5.1,4.19,2.07,3.14,0.98,0.91,0.56,2.51,0.93,1.1,0.56,-0.13,0.9,-0.97,947,'yes'
0.29,0.29,0.63,2.2,2.31,2.56,2.24,3.13,1.79,2.19,2.11,1.81,1.23,1.47,3.26,4.32,1.93,-0.86,1.7,1.04,0.64,948,'yes'
-1.52,-0.81,0.47,2.98,2.61,3.22,4.87,3.69,3.76,3.2,3.69,1.37,2.1,-0.04,1.76,-0.92,-0.58,0.39,0.25,1.57,-0.13,949,'no'
-0.54,0.17,1.43,-1.22,-0.74,-0.54,1.69,3.95,3.13,5.3,5.3,4.26,5.26,2.62,1.26,0.1,2.1,0.6,0.18,0.85,-1.82,950,'no'
-0.5,-0.26,0.58,0.15,0.39,-0.02,2.13,2.74,5.15,3.12,4.39,6.44,4.49,3.03,2.99,2.22,2.35,-0.98,-0.16,-0.23,0.41,951,'no'
1.35,0.96,-0.85,1.14,0.64,0.8,1.07,2.46,-0.85,0.91,2.53,1.7,3.3,2.78,3.59,2.96,2.84,3.62,0.34,1.73,0.3,952,'yes'
-2.93,1.04,0.85,0.22,0.35,0.67,-0.22,1.32,0.69,2.24,2.24,4.56,3.51,3.28,7.12,2.33,2.39,2.26,2.9,-0.13,-1.06,953,'no'
-0.42,1.65,1.34,1.9,0.73,1.2,2.08,2.59,1.45,2.03,-0.54,1.52,1.44,5,3.68,2.1,2.38,3.8,1.95,-0.42,-0.72,954,'yes'
1.09,-0.42,2.48,1.5,3.62,6.68,6.54,6.29,3.46,1.78,2.86,0.57,-1.97,1.24,0.05,0.21,0.22,1.08,1.15,-0.17,-0.83,955,'yes'
-2.82,0.01,1.32,0.02,2.86,2.73,3.38,4.76,5.08,3.67,5.47,3.03,1.62,0.93,-0.03,1.15,-1.37,-0.25,0.04,0.9,-0.4,956,'no'
-1.29,-0.26,1.68,0.83,1.65,0.65,0.49,3.11,2.28,4.39,5.89,4.27,3.16,3.32,2.36,0.94,-0.06,0.95,1.46,1.05,0.14,957,'no'
0.27,-0.34,0.11,1.92,1.34,0.41,1.16,1.2,0.99,1.41,1.31,3.7,4.34,4.69,4.71,2.15,1.94,1.7,1.51,2.07,0.13,958,'no'
